Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N180,39.80816142,-119.00369920,328480.797,4408385.870,1242.585,1266.998,2016-03-09,18:59:01.406,2016-03-27,00:48:32.404,353,
N181,39.80920563,-119.00280450,328559.985,4408500.061,1245.256,1269.666,2016-03-09,19:10:35.642,2016-03-27,00:32:36.640,004,
N182,39.81039630,-119.00166380,328660.593,4408630.038,1248.573,1272.980,2016-03-09,19:18:01.690,2016-03-27,00:31:32.688,350,
N183,39.81102054,-119.00103360,328716.091,4408698.121,1249.812,1274.218,2016-03-09,22:28:01.232,2016-03-27,00:35:02.230,008,
N184,39.81151406,-119.00053260,328760.204,4408751.942,1250.389,1274.793,2016-03-09,21:35:53.788,2016-03-27,00:34:24.786,355,
N185,39.81207864,-119.00008330,328800.067,4408813.750,1250.801,1275.203,2016-03-09,21:48:39.508,2016-03-27,00:34:40.506,000,
N186,39.80094529,-119.01078320,327856.349,4407598.495,1226.076,1250.508,2016-03-09,17:11:41.342,2016-03-27,00:40:12.340,348,
N187,39.80141332,-119.01035940,327893.801,4407649.630,1226.934,1251.364,2016-03-09,17:07:29.362,2016-03-27,00:40:00.360,353,
N188,39.80192134,-119.00985640,327938.132,4407705.052,1227.971,1252.400,2016-03-09,17:02:29.292,2016-03-27,00:39:00.290,353,
N189,39.80242044,-119.00943270,327975.652,4407759.637,1229.174,1253.602,2016-03-09,00:52:08.830,2016-03-27,00:38:39.828,357,
N190,39.80288921,-119.00900140,328013.746,4407810.841,1230.280,1254.707,2016-03-09,00:48:10.716,2016-03-27,00:40:11.714,354,
N191,39.80341752,-119.00852160,328056.140,4407868.560,1231.721,1256.146,2016-03-09,00:42:19.586,2016-03-27,00:39:20.584,001,
N192,39.80438433,-119.00760740,328136.816,4407974.118,1234.015,1258.438,2016-03-09,00:30:37.472,2016-03-27,00:39:08.470,357,
N193,39.80494328,-119.00710020,328181.631,4408035.187,1234.833,1259.254,2016-03-09,00:23:59.228,2016-03-27,00:41:00.226,356,
N194,39.80539091,-119.00668070,328218.659,4408084.068,1235.578,1259.998,2016-03-09,00:17:25.548,2016-03-27,00:41:56.546,012,
N195,39.80588077,-119.00621500,328259.748,4408137.547,1236.807,1261.226,2016-03-09,00:12:57.220,2016-03-27,00:41:58.218,002,
N196,39.80635647,-119.00581050,328295.561,4408189.573,1237.749,1262.167,2016-03-08,22:43:10.520,2016-03-27,00:42:41.518,356,
N197,39.80729685,-119.00488270,328377.329,4408292.174,1239.362,1263.777,2016-03-08,23:00:12.976,2016-03-27,00:41:13.974,358,
N198,39.80784800,-119.00448370,328412.858,4408352.585,1240.730,1265.144,2016-03-08,23:05:39.510,2016-03-27,00:42:10.508,358,
N199,39.80839030,-119.00402020,328453.886,4408411.891,1242.495,1266.907,2016-03-08,23:14:20.056,2016-03-27,00:42:21.054,355,
N200,39.80876761,-119.00354220,328495.744,4408452.855,1243.310,1267.721,2016-03-08,23:21:14.966,2016-03-27,00:43:45.964,349,
N201,39.80929674,-119.00301680,328542.037,4408510.581,1244.814,1269.224,2016-03-08,23:27:27.274,2016-03-27,00:43:58.272,000,
N202,39.80973950,-119.00260260,328578.595,4408558.933,1245.887,1270.296,2016-03-08,23:33:02.018,2016-03-27,00:45:03.016,010,
N203,39.81022091,-119.00214710,328618.785,4408611.496,1247.316,1271.724,2016-03-09,17:43:59.720,2016-03-27,00:45:30.718,358,
N204,39.81072623,-119.00171110,328657.364,4408666.751,1248.658,1273.064,2016-03-09,17:48:55.790,2016-03-27,00:43:56.788,356,
N205,39.81119949,-119.00124950,328698.054,4408718.398,1249.388,1273.792,2016-03-09,18:20:17.014,2016-03-27,00:44:18.012,000,
N206,39.81168161,-119.00079290,328738.338,4408771.039,1250.018,1274.421,2016-03-09,18:10:49.718,2016-03-27,00:44:50.716,003,
N207,39.81227791,-119.00025550,328785.821,4408836.198,1250.323,1274.725,2016-03-09,18:17:02.078,2016-03-27,00:45:03.076,005,
N208,39.79713314,-119.00348560,328471.670,4407161.335,1252.846,1277.287,2016-03-10,17:32:59.416,2016-03-26,21:18:00.416,005,
N209,39.79897105,-119.00167470,328631.286,4407361.870,1265.177,1289.614,2016-03-10,18:18:11.342,2016-03-26,21:17:42.342,006,
N210,39.80103360,-118.99997430,328781.990,4407587.555,1263.615,1288.047,2016-03-10,18:52:22.070,2016-03-26,21:19:53.070,005,Cone placed 03:12:22:44; Cone removed 03/13 ~01:00 UTC
N211,39.80291772,-118.99798370,328957.088,4407792.882,1260.768,1285.194,2016-03-10,19:32:35.986,2016-03-26,21:25:36.986,357,
N212,39.80445151,-118.99522340,329197.205,4407957.857,1272.652,1297.073,2016-03-10,20:06:32.094,2016-03-26,21:27:03.094,355,
N213,39.80668143,-118.99450320,329264.381,4408204.000,1269.917,1294.332,2016-03-10,19:41:44.458,2016-03-26,21:26:15.458,359,
N214,39.80820987,-118.99314300,329384.607,4408371.060,1272.438,1296.849,2016-03-10,19:08:01.972,2016-03-26,21:27:02.972,003,
N215,39.79792068,-119.00503620,328340.864,4407251.724,1258.110,1282.550,2016-03-10,17:17:59.842,2016-03-26,21:19:00.842,001,
N216,39.79934577,-119.00375050,328454.489,4407407.442,1275.436,1299.873,2016-03-10,17:58:31.894,2016-03-26,21:17:22.894,010,
N217,39.80129674,-119.00185980,328621.213,4407620.373,1258.594,1283.026,2016-03-10,18:41:41.216,2016-03-26,21:19:12.216,003,
N218,39.80313780,-119.00015230,328771.971,4407821.459,1255.495,1279.921,2016-03-10,19:14:44.144,2016-03-26,21:27:15.144,004,Cone placed 03:13:00:20; Cone removed 03/13 ~01:00
N219,39.80516750,-118.99816500,328947.144,4408042.951,1255.796,1280.217,2016-03-10,17:53:39.800,2016-03-26,21:27:40.800,002,Cone placed 03:13:00:33; Cone removed 03/13 ~01:00
N220,39.80710062,-118.99636530,329106.007,4408254.086,1260.044,1284.459,2016-03-10,18:16:33.398,2016-03-26,21:26:04.398,000,Cone placed 03:13:00:44; Cone removed 03/13 ~01:00
N221,39.80903884,-118.99461210,329260.893,4408465.878,1267.005,1291.414,2016-03-10,18:45:13.582,2016-03-26,21:26:44.582,005,Cone placed 03:13:00:52; Cone removed 03:13:03:05
N222,39.80161497,-119.01206010,327748.697,4407675.286,1225.548,1249.978,2016-03-10,21:37:57.978,2016-03-26,22:36:28.978,005,
N223,39.80360191,-119.01022380,327910.869,4407892.300,1229.128,1253.553,2016-03-10,21:51:28.008,2016-03-27,00:47:59.006,003,
N224,39.80553727,-119.00842150,328069.992,4408103.658,1232.779,1257.199,2016-03-10,22:01:10.790,2016-03-27,00:33:41.788,000,
N225,39.80748838,-119.00660360,328230.482,4408316.736,1236.975,1261.390,2016-03-10,22:21:42.670,2016-03-27,00:48:13.668,357,
N226,39.80944467,-119.00477910,328391.541,4408530.381,1241.709,1266.118,2016-03-10,22:23:27.252,2016-03-27,00:48:28.250,005,
N227,39.81139034,-119.00297650,328550.690,4408742.891,1245.908,1270.312,2016-03-10,22:40:09.448,2016-03-26,21:46:40.448,005,
N228,39.81291328,-119.00156670,328675.157,4408909.235,1247.353,1271.752,2016-03-10,23:43:17.286,2016-03-27,00:34:48.284,357,Node has old firmware version; Crashed when trying to run tests; Can't run HHT test due to old firmware
N229,39.80213920,-119.01297710,327671.496,4407735.241,1225.364,1249.792,2016-03-07,00:24:33.490,2016-03-26,21:44:04.490,004,
N230,39.80374591,-119.01178850,327777.269,4407911.295,1227.665,1252.089,2016-03-07,00:07:19.906,2016-03-26,21:44:50.906,000,
N231,39.80577221,-119.01020720,327917.703,4408133.169,1231.104,1255.522,2016-03-06,23:51:19.570,2016-03-26,21:44:20.570,000,
N232,39.80791027,-119.00860760,328059.974,4408367.416,1235.035,1259.448,2016-03-06,23:33:15.636,2016-03-26,21:45:16.636,000,
N233,39.80387266,-119.00804280,328098.266,4407918.160,1232.780,1257.205,2016-03-09,00:37:09.650,2016-03-27,00:39:10.648,357,
N234,39.81006749,-119.00696110,328206.300,4408603.702,1238.637,1263.044,2016-03-06,23:13:46.060,2016-03-26,21:45:17.060,000,
N235,39.81215816,-119.00542630,328342.889,4408832.817,1241.207,1265.608,2016-03-06,22:51:49.984,2016-03-26,21:45:50.984,000,
N236,39.81416079,-119.00384560,328483.181,4409052.075,1243.781,1268.177,2016-03-06,22:09:20.036,2016-03-26,21:46:21.036,004,
N237,39.80690393,-119.00526690,328343.461,4408249.297,1238.092,1262.508,2016-03-08,22:53:15.738,2016-03-27,00:41:16.736,357,
N238,39.79970290,-119.00817040,328076.953,4407455.567,1231.201,1255.637,2016-03-10,21:57:12.492,2016-03-26,21:18:13.492,005,
N239,39.80007954,-119.00775520,328113.440,4407496.575,1233.114,1257.548,2016-03-10,21:48:29.916,2016-03-26,21:19:00.916,000,
N240,39.80289176,-119.00736070,328154.220,4407807.971,1233.749,1258.176,2016-03-08,19:42:23.626,2016-03-27,00:47:54.624,003,
NPP04,39.80983271,-118.99611500,329134.201,4408556.866,1259.910,1284.318,,,,,000,test instrument; removed 3/11 or 3/12
NPP01,39.80168010,-119.00940560,327976.126,4407677.408,1228.587,1253.017,,,,,000,test nstrument; removed 3/11 or 3/12
