Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N044,39.80787052,-118.99857800,328918.489,4408343.773,1253.429,1277.842,2016-03-09,00:27:19.548,2016-03-26,20:44:50.548,353,
N045,39.80844124,-118.99809550,328961.210,4408406.200,1254.212,1278.624,2016-03-09,00:58:28.080,2016-03-26,20:42:29.080,350,
N046,39.80894573,-118.99770360,328996.010,4408461.448,1255.298,1279.708,2016-03-08,22:37:17.280,2016-03-26,20:43:18.280,003,
N047,39.80951093,-118.99724360,329036.789,4408523.306,1256.762,1281.171,2016-03-08,23:47:07.358,2016-03-26,17:47:38.358,002,
N048,39.80988913,-118.99687210,329069.529,4408564.575,1258.053,1282.461,2016-03-10,23:04:10.700,2016-03-26,20:34:11.700,003,
N049,39.80017957,-119.00641700,328228.262,4407505.109,1237.623,1262.057,2016-03-09,17:12:27.344,2016-03-26,16:40:28.344,350,
N050,39.80061948,-119.00611270,328255.411,4407553.354,1238.052,1262.485,2016-03-08,21:57:15.888,2016-03-26,16:41:16.888,350,
N051,39.80115999,-119.00572150,328290.249,4407612.599,1239.834,1264.266,2016-03-08,23:10:41.496,2016-03-26,16:40:42.496,353,
N052,39.80163975,-119.00525010,328331.802,4407664.947,1240.801,1265.232,2016-03-08,21:37:27.922,2016-03-26,16:39:58.922,340,
N053,39.80207710,-119.00471320,328378.857,4407712.462,1241.872,1266.302,2016-03-08,21:27:53.542,2016-03-26,17:02:24.542,340,
N054,39.80272005,-119.00428810,328416.851,4407783.013,1242.756,1267.183,2016-03-08,21:15:15.920,2016-03-26,17:00:46.920,344,
N055,39.80309045,-119.00380110,328459.466,4407823.194,1244.003,1268.429,2016-03-08,20:56:23.734,2016-03-26,17:02:24.734,344,
