Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
183,327873.28,4407549.88,1227.28
184,327873.53,4407550.21,1227.284
185,327873.78,4407550.55,1227.289
186,327874.03,4407550.88,1227.293
187,327874.28,4407551.21,1227.297
188,327874.54,4407551.54,1227.301
189,327874.79,4407551.88,1227.306
190,327875.04,4407552.21,1227.31
191,327875.29,4407552.54,1227.315
192,327875.55,4407552.87,1227.319
193,327876.08,4407553.54,1227.332
194,327876.7,4407554.33,1227.346
195,327877.32,4407555.11,1227.359
196,327877.94,4407555.89,1227.373
197,327878.56,4407556.67,1227.386
198,327879.18,4407557.45,1227.399
199,327879.8,4407558.24,1227.412
200,327880.42,4407559.02,1227.426
201,327881.04,4407559.8,1227.439
202,327881.66,4407560.58,1227.452
203,327882.28,4407561.36,1227.465
204,327882.9,4407562.15,1227.478
205,327883.52,4407562.93,1227.491
206,327884.14,4407563.71,1227.504
207,327884.76,4407564.49,1227.517
208,327885.38,4407565.27,1227.529
209,327886,4407566.06,1227.542
210,327886.62,4407566.84,1227.555
211,327887.24,4407567.62,1227.567
212,327887.86,4407568.4,1227.58
213,327888.48,4407569.18,1227.592
214,327889.1,4407569.97,1227.605
215,327889.72,4407570.75,1227.617
216,327890.34,4407571.53,1227.63
217,327890.96,4407572.31,1227.643
218,327891.58,4407573.09,1227.656
219,327892.2,4407573.88,1227.67
220,327892.82,4407574.66,1227.698
221,327893.44,4407575.44,1227.726
222,327894.06,4407576.22,1227.754
223,327894.78,4407576.32,1227.776
224,327895.6,4407575.73,1227.797
225,327896.41,4407575.14,1227.818
226,327897.23,4407574.54,1227.839
227,327898.05,4407573.95,1227.861
228,327898.86,4407573.36,1227.882
229,327899.68,4407572.77,1227.904
230,327900.5,4407572.18,1227.926
231,327901.32,4407571.59,1227.948
232,327902.13,4407571,1227.97
233,327902.95,4407570.4,1227.992
234,327903.77,4407569.81,1228.014
235,327904.58,4407569.22,1228.037
236,327905.4,4407568.63,1228.054
237,327906.22,4407568.04,1228.067
238,327907.03,4407567.45,1228.079
239,327907.85,4407566.86,1228.091
240,327908.67,4407566.26,1228.103
241,327909.49,4407565.67,1228.115
242,327910.3,4407565.08,1228.127
243,327911.12,4407564.49,1228.139
244,327911.94,4407563.9,1228.151
245,327912.75,4407563.31,1228.163
246,327913.57,4407562.72,1228.175
247,327914.39,4407562.13,1228.187
248,327915.21,4407561.53,1228.199
249,327916.02,4407560.94,1228.211
250,327916.84,4407560.35,1228.224
251,327917.66,4407559.76,1228.236
252,327918.47,4407559.17,1228.249
253,327919.29,4407558.58,1228.264
254,327920.11,4407557.99,1228.278
255,327920.93,4407557.39,1228.293
256,327921.74,4407556.8,1228.308
257,327922.56,4407556.21,1228.323
258,327923.38,4407555.62,1228.338
259,327924.19,4407555.03,1228.353
260,327925.01,4407554.44,1228.368
261,327925.83,4407553.85,1228.383
262,327926.65,4407553.26,1228.398
263,327927.46,4407552.66,1228.413
264,327928.28,4407552.07,1228.428
265,327929.1,4407551.48,1228.443
266,327929.91,4407550.89,1228.458
267,327930.73,4407550.3,1228.482
268,327931.55,4407549.71,1228.524
269,327932.36,4407549.12,1228.565
270,327933.18,4407548.52,1228.606
271,327934,4407547.93,1228.646
272,327934.82,4407547.34,1228.687
273,327935.63,4407546.75,1228.728
274,327936.45,4407546.16,1228.768
275,327937.27,4407545.57,1228.809
276,327938.08,4407544.98,1228.849
277,327938.9,4407544.39,1228.889
278,327939.72,4407543.79,1228.93
279,327940.54,4407543.2,1228.97
280,327941.35,4407542.61,1229.009
281,327942.17,4407542.02,1229.049
282,327942.99,4407541.43,1229.089
283,327943.8,4407540.84,1229.129
284,327944.62,4407540.25,1229.168
285,327945.44,4407539.65,1229.208
286,327946.26,4407539.06,1229.243
287,327947.07,4407538.47,1229.251
288,327947.89,4407537.88,1229.257
289,327948.71,4407537.29,1229.264
290,327949.52,4407536.7,1229.27
291,327950.34,4407536.11,1229.276
292,327951.16,4407535.51,1229.283
293,327951.97,4407534.92,1229.29
294,327952.79,4407534.33,1229.296
295,327953.61,4407533.74,1229.303
296,327954.43,4407533.15,1229.31
297,327955.24,4407532.56,1229.317
298,327956.06,4407531.97,1229.325
299,327956.88,4407531.38,1229.332
300,327957.69,4407530.78,1229.339
301,327958.51,4407530.19,1229.347
302,327959.33,4407529.6,1229.354
303,327960.15,4407529.01,1229.362
304,327960.96,4407528.42,1229.368
305,327961.78,4407527.83,1229.372
306,327962.6,4407527.24,1229.373
307,327963.41,4407526.64,1229.374
308,327964.23,4407526.05,1229.374
309,327965.05,4407525.46,1229.375
310,327965.87,4407524.87,1229.376
311,327966.68,4407524.28,1229.377
312,327967.5,4407523.69,1229.378
313,327968.32,4407523.1,1229.379
314,327969.13,4407522.51,1229.381
315,327969.95,4407521.91,1229.382
316,327970.77,4407521.32,1229.383
317,327971.58,4407520.73,1229.384
318,327972.4,4407520.14,1229.386
319,327973.22,4407519.55,1229.387
320,327974.04,4407518.96,1229.389
321,327974.85,4407518.37,1229.39
322,327975.67,4407517.78,1229.392
